,movieId,title
10309,10310,Dilwale Dulhania Le Jayenge
15480,15481,Inception
12481,12482,The Dark Knight
22879,22880,Interstellar
2843,2844,Fight Club
4863,4864,The Lord of the Rings: The Fellowship of the Ring
292,293,Pulp Fiction
314,315,The Shawshank Redemption
7000,7001,The Lord of the Rings: The Return of the King
351,352,Forrest Gump
5814,5815,The Lord of the Rings: The Two Towers
256,257,Star Wars
1225,1226,Back to the Future
834,835,The Godfather
1154,1155,The Empire Strikes Back
46,47,Se7en
24860,24861,The Imitation Game
359,360,The Lion King
18465,18466,The Intouchables
22841,22842,The Grand Budapest Hotel
586,587,The Silence of the Lambs
11354,11355,The Prestige
522,523,Schindler's List
23673,23674,Whiplash
289,290,Leon: The Professional
4099,4100,Memento
3030,3031,The Green Mile
5481,5482,Spirited Away
1213,1214,The Shining
1057,1058,Reservoir Dogs
2211,2212,Life Is Beautiful
1163,1164,A Clockwork Orange
1178,1179,The Godfather: Part II
49,50,The Usual Suspects
1170,1171,GoodFellas
2216,2217,American History X
4135,4136,Scarface
1152,1153,One Flew Over the Cuckoo's Nest
32144,32145,Room
1201,1202,Dead Poets Society
109,110,Taxi Driver
1176,1177,Psycho
1159,1160,"The Good, the Bad and the Ugly"
1161,1162,12 Angry Men
1165,1166,Apocalypse Now
9698,9699,Howl's Moving Castle
2884,2885,Princess Mononoke
9430,9431,Oldboy
5857,5858,The Pianist
5878,5879,City of God
5833,5834,My Neighbor Totoro
41128,41129,Lion
877,878,Rear Window
732,733,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
896,897,Citizen Kane
876,877,Vertigo
1166,1167,Once Upon a Time in the West
1184,1185,Once Upon a Time in America
926,927,It's a Wonderful Life
40251,40252,Your Name.
5553,5554,Grave of the Fireflies
1910,1911,Seven Samurai
3342,3343,Modern Times
883,884,Some Like It Hot
1132,1133,Cinema Paradiso
1236,1237,The Great Dictator
19901,19902,Paperman
25465,25466,Mommy
43190,43191,Band of Brothers
37863,37864,Sing Street
1901,1902,Metropolis
1138,1139,Paths of Glory
2576,2577,The Legend of 1900
895,896,Sunset Boulevard
882,883,The Apartment
39386,39387,Piper
20779,20780,Wolf Children
5157,5158,Rashomon
1215,1216,M
38718,38719,The Handmaiden
3189,3190,City Lights
3315,3316,Double Indemnity
31658,31659,Feast
25044,25045,Song of the Sea
3192,3193,The Kid
2972,2973,Bicycle Thieves
42015,42016,The Invisible Guest
31783,31784,Mustang
19101,19102,Presto
1836,1837,On the Waterfront
899,900,All About Eve
2616,2617,The 400 Blows
7174,7175,Persona
24209,24210,The Tale of the Princess Kaguya
2913,2914,Yojimbo
16881,16882,Senna
4878,4879,Witness for the Prosecution
24886,24887,The Way He Looks
22731,22732,La luna
2906,2907,The General
38244,38245,11.22.63
44677,44678,Black Mirror: White Christmas
